A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,ranking,a,b,c
0.68421,-0.6166010000000001,0.14438499999999999,-0.48453599999999997,0.23913,0.25517199999999995,0.147679,-0.433962,0.18612,-0.255973,-0.089431,0.941392,0.122682,a>b>c,0.0,1.0,2.0
0.142105,-0.588933,-0.165775,-0.9381440000000001,-0.347826,0.151724,0.021097099999999997,-0.509434,-0.451104,-0.47098999999999996,-0.07317080000000001,0.5604399999999999,0.101284,a>b>c,0.0,1.0,2.0
0.121053,-0.359684,0.40107,-0.175258,-0.326087,0.25517199999999995,0.223629,-0.358491,0.514196,-0.24914699999999998,-0.10569100000000001,0.391941,0.29386599999999996,a>b>c,0.0,1.0,2.0
0.757895,-0.5217390000000001,0.21925100000000003,-0.360825,-0.0652174,0.97931,0.32911399999999996,-0.584906,0.116719,0.11262799999999999,-0.382114,0.59707,0.714693,a>b>c,0.0,1.0,2.0
0.163158,-0.268775,0.614973,0.07216489999999999,0.043478300000000004,0.25517199999999995,-0.00843878,-0.018868,-0.11041,-0.481229,-0.089431,0.216117,-0.348074,a>b>c,0.0,1.0,2.0
0.668421,-0.596838,0.165775,-0.5257729999999999,-0.0869565,0.57931,0.28692,-0.20754699999999998,-0.015772799999999997,-0.0665529,-0.07317080000000001,0.15750899999999998,0.6718970000000001,a>b>c,0.0,1.0,2.0
0.768421,-0.5533600000000001,0.165775,-0.587629,-0.434783,0.0482758,-0.0801688,-0.358491,-0.00946369,-0.32252600000000003,-0.121951,0.692308,0.44365200000000005,a>b>c,0.0,1.0,2.0
0.594737,-0.442688,0.336898,-0.278351,0.108696,0.11724100000000001,-0.0843882,-0.320755,-0.47003199999999995,-0.356655,-0.056910699999999995,0.692308,0.45078500000000005,a>b>c,0.0,1.0,2.0
1.0,-0.644269,-0.13369,-0.6494850000000001,-0.41304300000000005,0.25517199999999995,0.113924,-0.396226,-0.00946369,-0.331058,-0.0243902,0.15750899999999998,0.09415119999999999,a>b>c,0.0,1.0,2.0
0.48947399999999996,-0.758893,-0.026737999999999998,-0.443299,-0.391304,0.37931,0.18565399999999999,-0.660377,-0.0914826,0.0136518,-0.138211,0.67033,0.09415119999999999,a>b>c,0.0,1.0,2.0
0.61579,-0.43873500000000004,0.00534752,-0.23711300000000002,-0.23913,0.358621,0.257384,-0.660377,0.242902,-0.23720100000000002,0.25203200000000003,0.391941,0.7574890000000001,a>b>c,0.0,1.0,2.0
0.626316,-0.7075100000000001,0.026737900000000002,-0.360825,-0.45652200000000004,-0.158621,-0.11814300000000001,-0.509434,-0.26813899999999996,-0.365188,0.121951,0.13553099999999998,0.42938699999999996,a>b>c,0.0,1.0,2.0
0.431579,-0.608696,0.12299500000000001,-0.443299,-0.586957,0.11724100000000001,0.021097099999999997,-0.396226,-0.116719,-0.262799,0.0894308,0.194139,0.48644799999999994,a>b>c,0.0,1.0,2.0
0.957895,-0.608696,0.101604,-0.9175260000000001,-0.543478,0.46206899999999995,0.41350200000000004,0.132075,0.514196,-0.296928,0.25203200000000003,0.0695971,0.243937,a>b>c,0.0,1.0,2.0
0.763158,-0.5533600000000001,0.0909092,-0.85567,-0.304348,0.6,0.392405,-0.396226,0.608833,0.061433400000000006,0.170732,0.267399,0.810271,a>b>c,0.0,1.0,2.0
0.368421,-0.577075,0.433155,-0.319588,-0.0869565,0.289655,0.0843882,-0.358491,-0.337539,0.0273038,0.300813,0.17948699999999998,0.472183,a>b>c,0.0,1.0,2.0
0.7210529999999999,-0.533597,0.454545,-0.0309279,0.0869565,0.25517199999999995,0.18143499999999999,-0.245283,-0.015772799999999997,-0.16041,-0.04065030000000001,0.0109891,0.42938699999999996,a>b>c,0.0,1.0,2.0
0.473684,-0.671937,0.347593,-0.0309279,-0.0217391,0.358621,0.291139,0.0188679,-0.173502,-0.0921502,0.0569105,-0.0476191,0.21540700000000002,a>b>c,0.0,1.0,2.0
0.663158,-0.664032,0.19786099999999998,-0.391753,-0.173913,0.6,0.514768,-0.283019,-0.0851735,0.266212,0.21951199999999998,0.13553099999999998,1.0,a>b>c,0.0,1.0,2.0
0.373684,-0.0671938,0.283422,-0.5257729999999999,0.0,0.18620699999999998,0.135021,-0.849057,-0.211356,-0.348123,-0.21951199999999998,0.531135,-0.191155,a>b>c,0.0,1.0,2.0
0.594737,-0.648221,-0.0160428,-0.443299,0.21739099999999997,0.39310300000000004,0.19409300000000002,-0.584906,0.066246,-0.254266,-0.00813005,0.787546,-0.28388,a>b>c,0.0,1.0,2.0
2.50967e-07,0.209486,0.379679,-0.175258,-0.304348,-0.0137931,-0.126582,-0.5471699999999999,-0.00946369,-0.45051199999999997,-0.10569100000000001,0.648352,-0.298146,a>b>c,0.0,1.0,2.0
0.410526,-0.557312,0.0695186,-0.381443,-0.326087,0.12413800000000001,0.07173,-0.47169799999999995,-0.192429,-0.569966,0.0243902,1.0,0.0798859,a>b>c,0.0,1.0,2.0
-0.042105000000000004,-0.660079,0.240642,-0.257732,-0.45652200000000004,0.0344827,-0.14346,-0.509434,-0.337539,-0.547782,-0.00813005,0.728938,0.051355200000000004,a>b>c,0.0,1.0,2.0
0.3,-0.577075,0.336898,-0.0309279,-0.434783,0.0689654,-0.0421941,-0.433962,-0.211356,-0.617747,0.0406504,0.868132,-0.191155,a>b>c,0.0,1.0,2.0
0.0631581,-0.482213,0.9893049999999999,0.48453599999999997,0.173913,0.137931,-0.012658200000000001,0.283019,-0.047318599999999995,-0.607509,0.0569105,0.413919,-0.21255300000000002,b>a>c,1.0,0.0,2.0
0.242106,-0.592885,0.347593,-0.43299,-0.5,0.289655,0.09704650000000001,-0.20754699999999998,-0.34384899999999996,-0.39931700000000003,-0.284553,0.428571,0.308131,a>b>c,0.0,1.0,2.0
0.194737,-0.612648,-0.165775,-0.340206,-0.478261,-0.0206896,-0.21940900000000002,-0.47169799999999995,-0.40694,-0.544369,-0.121951,0.0989011,0.43651899999999993,a>b>c,0.0,1.0,2.0
0.494737,-0.541502,0.540107,-0.09278360000000001,-0.195652,0.358621,0.109705,-0.09433960000000001,-0.148265,-0.45051199999999997,0.25203200000000003,0.5604399999999999,-0.09129810000000001,a>b>c,0.0,1.0,2.0
0.573685,-0.628459,-0.0909091,-0.443299,-0.434783,0.151724,-0.160338,-0.509434,-0.00946369,-0.416382,-0.089431,0.699634,0.0798859,a>b>c,0.0,1.0,2.0
0.42105200000000004,-0.699605,0.433155,0.226804,-0.326087,0.39310300000000004,0.227848,-0.396226,0.242902,-0.245734,0.154472,0.054945100000000004,0.43651899999999993,a>b>c,0.0,1.0,2.0
0.342105,-0.636364,0.0695186,-0.12371099999999999,-0.21739099999999997,0.296552,0.202532,-0.660377,-0.0283911,-0.0409556,-0.00813005,0.17948699999999998,0.764622,a>b>c,0.0,1.0,2.0
0.394737,-0.56917,0.0695186,-0.319588,-0.26087,-0.00689654,-0.00843878,0.09433949999999999,-0.015772799999999997,-0.56314,0.21951199999999998,0.17216099999999998,0.015691899999999998,a>b>c,0.0,1.0,2.0
0.436842,-0.687747,0.433155,-0.0824742,0.347826,0.358621,0.012658200000000001,0.396226,-0.40694,-0.296928,0.25203200000000003,0.267399,0.365193,a>b>c,0.0,1.0,2.0
0.305263,-0.581028,0.379679,-0.134021,-0.130435,-0.0551725,-0.07594939999999999,-0.396226,-0.287066,-0.501707,0.0081301,0.17216099999999998,0.165478,a>b>c,0.0,1.0,2.0
0.28947399999999995,-0.577075,0.12299500000000001,0.0206185,-0.347826,0.18620699999999998,0.113924,-0.509434,-0.0851735,-0.348123,-0.089431,0.611722,-0.0841655,a>b>c,0.0,1.0,2.0
0.18420999999999998,-0.644269,0.582888,-0.494845,-0.130435,0.11724100000000001,-0.012658200000000001,-0.20754699999999998,-0.400631,-0.433447,-0.00813005,0.106227,-0.141227,a>b>c,0.0,1.0,2.0
0.0631581,-0.640316,0.272727,-0.23711300000000002,-0.391304,0.0137931,-0.11814300000000001,-0.396226,-0.35015799999999997,-0.493174,0.0406504,-0.0915751,0.179743,a>b>c,0.0,1.0,2.0
0.0736841,-0.699605,-0.208556,-0.494845,-0.391304,-0.0206896,-0.0295358,-0.433962,-0.394322,-0.5870310000000001,0.138211,0.0402931,0.0584879,a>b>c,0.0,1.0,2.0
0.678948,0.284585,0.229946,-0.731959,0.26087,0.39310300000000004,0.139241,-0.735849,0.05362769999999999,-0.348123,-0.333333,0.655678,-0.312411,a>b>c,0.0,1.0,2.0
0.331579,-0.6166010000000001,0.016042700000000003,-0.42268,0.0217391,0.49655200000000005,0.24472600000000003,-0.20754699999999998,0.217666,-0.172355,-0.23577199999999998,0.545788,-0.262482,a>b>c,0.0,1.0,2.0
0.252632,0.225296,-0.187166,-0.154639,-0.565217,0.0137931,-0.012658200000000001,-0.47169799999999995,-0.324921,-0.488055,-0.300813,0.267399,0.0798859,a>b>c,0.0,1.0,2.0
0.5,-0.545455,0.315508,-0.546392,-0.326087,0.565517,0.35865,-0.849057,-0.18612,-0.29180900000000004,-0.349594,0.677656,0.165478,a>b>c,0.0,1.0,2.0
