A1,A2,A3,A4,A5,A6,A7,A8,A9,ranking,a,b,c,d,e,f
-0.134323,-0.12481199999999999,1.0,-0.495327,-0.296429,-0.980676,-0.3829,-1.0,-1.0,b>a>e>c>d>f,1.0,0.0,3.0,4.0,2.0,5.0
-0.43283900000000003,-0.0496238,0.603564,-0.333333,0.042858099999999996,-0.845411,-0.5539029999999999,-1.0,-1.0,a>c>b>d>e>f,0.0,2.0,1.0,3.0,4.0,5.0
-0.55838,-0.157895,0.581292,-0.22118400000000002,0.135713,-0.874396,-0.5631970000000001,-1.0,-1.0,a>c>b>d>e>f,0.0,2.0,1.0,3.0,4.0,5.0
-0.428443,-0.254135,0.6436529999999999,-0.376947,0.0,-0.816425,-0.48141300000000004,-1.0,-1.0,a>c>b>d>e>f,0.0,2.0,1.0,3.0,4.0,5.0
-0.449511,-0.23609000000000002,0.612472,-0.4081,0.167857,-0.822866,-0.5092939999999999,-1.0,-1.0,a>c>b>d>e>f,0.0,2.0,1.0,3.0,4.0,5.0
-0.577701,-0.38045100000000004,0.6080180000000001,-0.17134000000000002,0.128572,-0.7938810000000001,-0.5092939999999999,-1.0,0.0196078,a>c>b>d>e>f,0.0,2.0,1.0,3.0,4.0,5.0
-0.448643,-0.22706700000000002,0.603564,-0.470405,0.171427,-0.8132050000000001,-0.49070600000000003,-1.0,-1.0,a>c>b>d>e>f,0.0,2.0,1.0,3.0,4.0,5.0
-0.437224,-0.27218000000000003,0.6080180000000001,-0.5264800000000001,0.22499899999999998,-0.816425,-0.477695,-1.0,-1.0,a>c>b>d>e>f,0.0,2.0,1.0,3.0,4.0,5.0
-0.294989,-0.00451109,0.594655,-0.32710300000000003,-0.18928499999999998,-0.8196459999999999,-0.46654300000000004,-1.0,-1.0,c>a>b>d>e>f,1.0,2.0,0.0,3.0,4.0,5.0
-0.43810299999999996,-0.317293,0.603564,-0.333333,0.135713,-0.816425,-0.447955,-1.0,-0.568627,a>c>b>d>e>f,0.0,2.0,1.0,3.0,4.0,5.0
