A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,ranking,a,b,c,d,e,f,g
1.2759124370000001,0.9495307479999999,2.410146627,-0.194509585,-0.392976111,-0.115094905,-0.363873448,-0.130915852,0.591412478,0.560071257,0.712982656,0.46959178799999995,-0.7652862229999999,1.296197867,-1.428734566,0.70092026,-0.472591017,-0.43851514799999997,f>d>c>b>e>a>g,5.0,3.0,2.0,1.0,4.0,0.0,6.0
-0.1633007,0.114513622,-0.356970027,-0.194509585,-0.5988204229999999,-0.121712998,-0.579319195,-0.133962584,-0.9472526720000001,-0.936767366,-0.9564610309999999,-0.935919196,0.865380721,-0.8383916790000001,0.552706437,-0.992082055,2.510220745,-0.49203103299999995,e>c>a>g>d>f>b,2.0,6.0,1.0,4.0,0.0,5.0,3.0
1.056603769,-1.433747299,-0.356970027,-0.194509585,-0.35180576700000005,-0.110089381,-0.363873448,-0.122732609,2.2523177519999997,2.256705658,2.196087871,2.290634327,-1.791637275,1.4721855990000001,-0.6977207409999999,2.2049545580000003,-0.996656139,-0.606355719,b>d>f>g>a>e>c,4.0,0.0,6.0,1.0,5.0,2.0,3.0
-1.2735508340000001,0.862549798,-0.356970027,-0.194509585,-0.063625583,-0.08758173699999999,1.821364475,-0.025406622,0.171336307,0.19220636300000002,0.19989733,0.115158125,0.05005027,0.33109083699999997,-0.6111528589999999,0.18059444600000002,-0.7007112659999999,-0.41153718799999994,f>d>c>e>a>b>g,4.0,5.0,2.0,1.0,3.0,0.0,6.0
-0.8760538729999999,1.280058361,-0.356970027,-0.194509585,-0.166548665,-0.09351843800000001,0.051629479000000006,-0.10743186699999999,0.328501427,0.32539784,0.39900613100000004,0.24348836100000001,-0.295266684,0.73984181,-0.957424388,0.382513004,-0.542982333,-0.426686002,f>d>c>a>e>b>g,3.0,5.0,2.0,1.0,4.0,0.0,6.0
0.330143804,1.0713040790000001,-0.356970027,-0.194509585,-0.12537646800000002,-0.103492471,0.174742996,-0.10743186699999999,0.321709274,0.35711023299999994,0.35305812299999995,0.246543515,0.059641449000000006,0.473019394,-0.861238814,0.335916593,-0.661400578,-0.381711951,f>d>c>a>e>b>g,3.0,5.0,2.0,1.0,4.0,0.0,6.0
0.98806981,1.836736445,-0.356970027,-0.194509585,-0.18713105800000002,-0.092209081,-0.34848322,-0.130536079,-0.505833188,-0.534016272,-0.604192814,-0.355382407,0.155561866,-1.071152672,1.658847463,-0.557182839,-0.39935268700000004,2.597815705,g>e>a>c>d>f>b,2.0,6.0,3.0,4.0,1.0,5.0,0.0
-1.31467121,-0.21601399,-0.356970027,-0.194509585,-0.557651561,-0.12194006199999999,-0.502374147,-0.137589356,-0.828893689,-0.740148535,-0.869670527,-0.856477233,1.479277432,-0.951933503,0.12948558300000002,-0.891123242,0.60120177,0.300930082,a>e>c>g>d>f>b,0.0,6.0,2.0,4.0,1.0,5.0,3.0
-1.698461379,-0.7378996940000001,-0.356970027,-0.194509585,3.806264525,5.8365080229999995,1.882919849,3.351712069,-0.411727953,-0.537187226,-0.313187996,-0.404270378,-0.803650937,0.319737779,0.26414625199999997,-0.339731367,0.7375474409999999,-0.695973796,c>d>e>a>f>g>b,3.0,6.0,0.0,1.0,2.0,4.0,5.0
-0.7663995379999999,-0.668314934,2.410146627,-0.194509585,0.45098612299999996,0.055703175,0.42096449,0.020353964,-0.408817779,-0.35325477899999996,-0.369347949,-0.505098724,0.8366045959999999,-0.07198360599999999,-0.716956125,-0.39668383100000004,0.046038499000000004,-0.192180298,e>d>c>a>f>g>b,3.0,6.0,2.0,1.0,0.0,4.0,5.0
0.37126418,-0.703107314,-0.356970027,-0.194509585,0.9450117309999999,-0.097701155,-0.410040256,-0.128601968,-0.275905856,-0.270801417,-0.251925517,-0.30649443600000004,0.270668093,-0.066307077,-0.159078064,-0.277604373,-0.523316039,-0.453198043,d>e>a>c>f>g>b,2.0,6.0,3.0,0.0,1.0,4.0,5.0
1.6871161909999999,0.514625995,-0.356970027,-0.194509585,-0.5988204229999999,-0.12590421,-0.6408751229999999,-0.139667561,-0.960834855,-0.936767366,-0.9896458309999999,-0.9389746529999999,0.999671031,-0.9803192140000001,0.658511434,-1.0257351479999999,2.023552241,-0.473361949,e>c>a>d>g>f>b,2.0,6.0,1.0,3.0,0.0,5.0,4.0
0.165662303,0.30587171399999996,-0.356970027,-0.194509585,-0.6811582959999999,-0.12427375800000001,-0.656264077,-0.137857484,-0.9695662420000001,-0.936767366,-1.012619812,-0.9389746529999999,1.086000183,-1.082506855,0.745079229,-1.04903333,-1.383131664,-0.473361949,e>c>a>d>g>f>b,2.0,6.0,1.0,3.0,0.0,5.0,4.0
-0.533384078,1.280058361,2.410146627,4.3903592080000005,-0.104794075,-0.09493794800000001,-0.317705533,-0.121401917,0.6855177140000001,0.667895103,0.771695021,0.591811715,-0.717321698,1.137239724,-1.207510343,0.760461154,-0.620035661,-0.45629122299999997,f>d>c>b>e>a>g,5.0,3.0,2.0,1.0,4.0,0.0,6.0
1.303326021,1.680170734,2.410146627,-0.194509585,0.14222058199999998,-0.102119341,-0.040703582,-0.06957551299999999,-0.8017295320000001,-0.775032452,-0.892644531,-0.7098152459999999,0.894157709,-1.2641737720000001,1.245249495,-0.857470382,0.002019289,2.1660454,g>e>a>c>d>f>b,2.0,6.0,3.0,4.0,1.0,5.0,0.0
